MOFID,label,GATS1p,ATSC1e,X4v,GATS3p,GATS4p,MATS1p,EM,Vatomic,SpPosA_B_p,GATS2m,J_Dz_e,SpDiam_Dz_e,SM1_Dz_e,EE_B_p,MAXDN,VE1_B_s,SpMin1_Bh_s,GATS2p,Eta_sh_x,GATS2e,GATS1m,MATS4p,Mp,ATSC1p,SpMax2_Bh_m,X0Av,P
184,0,1.524,1.036,31.233,1.781,1.437,-0.221,4.44,6.59,1.338,1.022,0.6134,2120.229,1.843,7.242,4.162,4.715,1.472,1.106,0.021,0.76,0.971,0.087,0.804,15.313,5.433,0.518,1.91
185,0,1.601,0.623,26.188,1.821,1.396,-0.259,4.44,6.59,1.402,1.014,0.8292,824.355,1.052,6.918,3.33,4.683,1.468,1.077,0.032,0.821,1.007,0.104,0.8,12.779,5.433,0.544,1.91
186,0,1.715,1.451,45.213,2.076,1.762,-0.151,3.49,6.53,1.417,0.898,0.5323,2334.811,1.285,9.586,5.22,4.263,1.58,1.334,0.052,0.887,0.826,0.026,0.869,25.138,4.723,0.532,1.9
189,0,1.555,0.576,23.179,1.72,1.285,-0.243,3.49,6.53,1.399,1.105,1.0226,543.996,0.565,6.675,3.153,5.725,1.489,1.04,0.035,0.898,1.105,0.099,0.798,11.385,5.782,0.559,1.9
190,0,1.662,0.729,21.106,1.965,1.12,-0.303,3.49,6.53,1.36,1.148,1.0559,524.976,1.228,6.628,3.451,4.742,1.457,1.061,0.037,0.954,1.13,0.22,0.804,10.232,5.782,0.534,1.9
192,0,1.541,0.641,25.465,1.759,1.356,-0.256,3.49,6.53,1.374,1.086,0.8149,998.777,1.228,6.934,3.418,4.764,1.458,1.079,0.026,0.932,1.064,0.154,0.801,12.427,5.782,0.535,1.9
194,0,1.552,0.573,22.502,1.82,1.386,-0.255,3.49,6.53,1.4,1.163,0.9303,809.043,0.565,6.807,3.324,4.768,1.458,1.082,0.029,0.952,1.115,0.118,0.82,11.498,5.782,0.549,1.9
195,0,1.576,0.493,22.886,1.813,1.328,-0.162,1.35,6.59,1.391,1.084,1.0539,567.215,0.878,6.818,3.017,5.916,1.496,1.115,0.032,0.828,1.142,0.092,0.778,12.883,5.917,0.558,1.65
196,0,1.534,0.433,26.409,1.734,1.374,-0.207,1.35,6.59,1.429,1.084,0.7921,964.794,0.456,7.042,2.842,6.709,1.552,1.087,0.024,0.95,1.081,0.058,0.808,14.366,5.917,0.557,1.65
197,0,1.605,0.431,24.266,1.845,1.489,-0.246,1.35,6.59,1.394,1.092,0.8186,932.277,1.173,7.008,3.004,4.668,1.44,1.143,0.025,0.954,1.085,0.116,0.813,13.288,5.917,0.538,1.65
