MOFID,Label_Stab,sample_weight,ATS7p,ATSC3p,VE2_X,P_VSA_v_3,SpMax8_Bh_m,P_VSA_s_3,Molecular_Topological_Index_Unit,SM2_B_p,TIC2,Eig11_EA_ed,Eig13_AEA_ed,VE1_X,SpMaxA_B_s,MLOGP2,SM13_AEA_bo,JGT,VE3sign_H2,IC2,P_VSA_LogP_7,F04_C_N,Eig06_EA_ri,P_VSA_LogP_5,SpMin6_Bh_s,SpMax4_Bh_e,LogP_Linker,GATS2m,SpMin1_Bh_s,X3v,SpMax4_Bh_m,GGI5
L5-N-TiTi-C,1,3.0,5.903,64.603,0.092,459.554,3.933,99.457,5258.282326,6.24,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.026,6.099,0.957,1.633,41.29,4.256,5.864
L5-N-TiTi-CHO,1,3.0,6.003,64.535,0.088,469.821,3.933,105.828,5486.345405,6.27,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,38,3.014,97.405,1.237,4.026,6.099,0.957,1.635,41.737,4.256,6.101
L5-N-VV-C,1,3.0,5.876,58.097,0.092,459.554,3.94,99.457,5258.282326,6.163,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.027,6.099,0.983,1.61,37.817,4.257,5.864
L5-N-VV-CHO,1,3.0,5.967,58.118,0.088,469.821,3.94,105.828,5486.345405,6.195,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,38,3.014,97.405,1.237,4.027,6.099,0.983,1.612,38.263,4.257,6.101
L5-N-ZnZn-C,1,3.0,5.806,42.364,0.092,459.554,3.954,99.457,5258.282326,6.011,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,38,3.009,91.034,1.237,4.03,6.099,1.087,1.552,28.751,4.258,5.864
L5-O-CoCo-C,1,3.0,5.805,44.471,0.092,464.528,3.949,104.43,11274.91639,6.019,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.031,6.8394,1.04,1.552,30.006,4.258,5.864
L5-O-CoCo-CHO,1,3.0,5.877,44.691,0.088,474.794,3.949,110.801,11525.69111,6.057,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.031,6.8394,1.042,1.552,30.452,4.258,6.101
L5-O-CrCr-C,1,3.0,5.86,56.513,0.092,464.528,3.941,104.43,11274.91639,6.135,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.028,6.8394,0.987,1.552,33.932,4.257,5.864
L5-O-CrCr-CHO,1,3.0,5.948,56.589,0.088,474.794,3.941,110.801,11525.69111,6.168,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.028,6.8394,0.988,1.552,34.378,4.257,6.101
L5-O-CuCu-C,1,3.0,5.786,40.347,0.092,464.528,3.953,104.43,11274.91639,5.989,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.029,6.8394,1.072,1.552,28.461,4.258,5.864
